month,orders,units,revenue,aov,mom_revenue_growth
2019-02-01,8,12,764.27,95.53,
2019-03-01,7,13,1058.8,151.26,0.3854
2019-04-01,7,7,402.59,57.51,-0.6198
2019-05-01,15,17,989.4,65.96,1.4576
2019-06-01,18,26,1622.24,90.12,0.6396
2019-07-01,31,46,2594.69,83.7,0.5994
2019-08-01,28,39,2504.51,89.45,-0.0348
2019-09-01,28,40,2383.17,85.11,-0.0484
2019-10-01,32,45,2159.33,67.48,-0.0939
2019-11-01,46,67,3302.1,71.78,0.5292
2019-12-01,45,61,2944.65,65.44,-0.1082
2020-01-01,51,61,3432.27,67.3,0.1656
2020-02-01,51,80,5182.03,101.61,0.5098
2020-03-01,53,78,4560.41,86.05,-0.12
2020-04-01,59,93,5469.91,92.71,0.1994
2020-05-01,60,90,5385.8,89.76,-0.0154
2020-06-01,75,97,5492.67,73.24,0.0198
2020-07-01,75,105,4827.54,64.37,-0.1211
2020-08-01,80,109,7010.6,87.63,0.4522
2020-09-01,81,110,6364.51,78.57,-0.0922
2020-10-01,91,122,6695.4,73.58,0.052
2020-11-01,87,123,7807.47,89.74,0.1661
2020-12-01,104,138,6579.07,63.26,-0.1573
2021-01-01,107,151,8358.86,78.12,0.2705
2021-02-01,92,125,6257.05,68.01,-0.2514
2021-03-01,106,156,8264.88,77.97,0.3209
2021-04-01,110,170,10045.29,91.32,0.2154
2021-05-01,113,162,8676.68,76.78,-0.1362
2021-06-01,110,155,9187.82,83.53,0.0589
2021-07-01,129,187,11404.29,88.41,0.2412
2021-08-01,140,204,12378.65,88.42,0.0854
2021-09-01,144,204,11838.1,82.21,-0.0437
2021-10-01,151,216,13446.58,89.05,0.1359
2021-11-01,135,187,10253.61,75.95,-0.2375
2021-12-01,158,219,12018.47,76.07,0.1721
2022-01-01,147,209,13141.1,89.4,0.0934
2022-02-01,158,220,12269.61,77.66,-0.0663
2022-03-01,200,273,15619.52,78.1,0.273
2022-04-01,183,254,14154.99,77.35,-0.0938
2022-05-01,168,252,15049.91,89.58,0.0632
2022-06-01,200,277,16242.82,81.21,0.0793
2022-07-01,204,281,14649.98,71.81,-0.0981
2022-08-01,219,306,18282.42,83.48,0.2479
2022-09-01,204,293,16632.23,81.53,-0.0903
2022-10-01,238,343,18910.54,79.46,0.137
2022-11-01,230,330,18847.39,81.95,-0.0033
2022-12-01,218,296,18039.27,82.75,-0.0429
2023-01-01,239,341,20818.49,87.11,0.1541
2023-02-01,249,351,22135.24,88.9,0.0632
2023-03-01,275,392,23695.35,86.16,0.0705
2023-04-01,279,393,20707.98,74.22,-0.1261
2023-05-01,305,422,24746.19,81.14,0.195
2023-06-01,283,377,21883.61,77.33,-0.1157
2023-07-01,303,434,28154.58,92.92,0.2866
2023-08-01,307,414,23283.4,75.84,-0.173
2023-09-01,332,468,26743.62,80.55,0.1486
2023-10-01,347,513,30583.0,88.14,0.1436
2023-11-01,314,458,27498.82,87.58,-0.1008
2023-12-01,361,532,33751.79,93.5,0.2274
2024-01-01,332,458,27399.05,82.53,-0.1882
2024-02-01,338,481,31970.32,94.59,0.1668
2024-03-01,390,569,34565.4,88.63,0.0812
2024-04-01,384,523,32489.77,84.61,-0.06
2024-05-01,428,602,37162.0,86.83,0.1438
2024-06-01,421,583,36377.9,86.41,-0.0211
2024-07-01,411,571,33457.9,81.41,-0.0803
2024-08-01,414,586,33711.5,81.43,0.0076
2024-09-01,419,598,34473.25,82.28,0.0226
2024-10-01,415,599,36764.4,88.59,0.0665
2024-11-01,481,671,38150.83,79.32,0.0377
2024-12-01,511,728,43708.05,85.53,0.1457
2025-01-01,541,752,43464.52,80.34,-0.0056
2025-02-01,478,660,40421.36,84.56,-0.07
2025-03-01,535,756,46330.52,86.6,0.1462
2025-04-01,547,763,45328.79,82.87,-0.0216
2025-05-01,610,869,50513.53,82.81,0.1144
2025-06-01,562,802,48424.74,86.17,-0.0414
2025-07-01,604,855,51995.59,86.09,0.0737
2025-08-01,633,889,53681.94,84.81,0.0324
2025-09-01,681,980,59419.12,87.25,0.1069
2025-10-01,761,1086,64191.72,84.35,0.0803
2025-11-01,736,1053,62221.76,84.54,-0.0307
2025-12-01,748,1088,60975.71,81.52,-0.02
2026-01-01,831,1194,72002.03,86.65,0.1808
2026-02-01,748,1057,60476.92,80.85,-0.1601
2026-03-01,943,1338,77375.86,82.05,0.2794
2026-04-01,958,1345,78374.21,81.81,0.0129
2026-05-01,1045,1500,89018.05,85.18,0.1358
2026-06-01,1099,1551,88992.52,80.98,-3.0E-4
2026-07-01,1302,1876,117350.29,90.13,0.3187
2026-08-01,1535,2233,132912.64,86.59,0.1326
