month,active_customers,new_customers,returning_customers,revenue_new,revenue_returning,pct_rev_returning
2019-02-01,8,8,0,764.27,0.0,0.0
2019-03-01,7,7,0,1058.8,0.0,0.0
2019-04-01,7,7,0,402.59,0.0,0.0
2019-05-01,15,15,0,989.4,0.0,0.0
2019-06-01,18,18,0,1622.24,0.0,0.0
2019-07-01,31,30,1,2575.69,19.0,0.0073
2019-08-01,28,27,1,2495.72,8.79,0.0035
2019-09-01,28,27,1,2183.7,199.47,0.0837
2019-10-01,32,32,0,2159.33,0.0,0.0
2019-11-01,46,45,1,3220.15,81.95,0.0248
2019-12-01,45,44,1,2860.65,84.0,0.0285
2020-01-01,51,50,1,3411.27,21.0,0.0061
2020-02-01,51,49,2,4908.26,273.77,0.0528
2020-03-01,53,51,2,4389.23,171.18,0.0375
2020-04-01,59,59,0,5469.91,0.0,0.0
2020-05-01,60,55,5,5119.02,266.78,0.0495
2020-06-01,75,73,2,5422.73,69.94,0.0127
2020-07-01,75,71,4,4572.7,254.84,0.0528
2020-08-01,79,77,2,6979.7,30.9,0.0044
2020-09-01,81,79,2,6262.16,102.35,0.0161
2020-10-01,91,88,3,6537.55,157.85,0.0236
2020-11-01,87,84,3,7511.06,296.41,0.038
2020-12-01,104,96,8,6054.62,524.45,0.0797
2021-01-01,107,98,9,7995.88,362.98,0.0434
2021-02-01,92,85,7,5683.74,573.31,0.0916
2021-03-01,104,100,4,8011.79,253.09,0.0306
2021-04-01,110,106,4,9380.8,664.49,0.0661
2021-05-01,113,105,8,8184.13,492.55,0.0568
2021-06-01,110,103,7,8664.16,523.66,0.057
2021-07-01,129,118,11,10840.29,564.0,0.0495
2021-08-01,140,134,6,11580.58,798.07,0.0645
2021-09-01,144,139,5,11470.34,367.76,0.0311
2021-10-01,151,145,6,13178.11,268.47,0.02
2021-11-01,135,129,6,9518.41,735.2,0.0717
2021-12-01,158,143,15,10049.01,1969.46,0.1639
2022-01-01,147,142,5,12274.73,866.37,0.0659
2022-02-01,158,140,18,11094.58,1175.03,0.0958
2022-03-01,199,181,18,14529.15,1090.37,0.0698
2022-04-01,183,174,9,13509.22,645.77,0.0456
2022-05-01,168,152,16,14260.56,789.35,0.0524
2022-06-01,200,190,10,15429.59,813.23,0.0501
2022-07-01,204,189,15,13435.55,1214.43,0.0829
2022-08-01,219,205,14,17616.5,665.92,0.0364
2022-09-01,204,191,13,15619.57,1012.66,0.0609
2022-10-01,238,219,19,17306.45,1604.09,0.0848
2022-11-01,230,210,20,17136.72,1710.67,0.0908
2022-12-01,218,197,21,16582.35,1456.92,0.0808
2023-01-01,239,216,23,18555.49,2263.0,0.1087
2023-02-01,249,227,22,19662.11,2473.13,0.1117
2023-03-01,275,250,25,21319.0,2376.35,0.1003
2023-04-01,279,259,20,19587.75,1120.23,0.0541
2023-05-01,304,272,32,21866.97,2879.22,0.1164
2023-06-01,283,255,28,19939.58,1944.03,0.0888
2023-07-01,302,279,23,26334.96,1819.62,0.0646
2023-08-01,307,280,27,21794.88,1488.52,0.0639
2023-09-01,331,302,29,24873.07,1870.55,0.0699
2023-10-01,347,308,39,25496.65,5086.35,0.1663
2023-11-01,314,279,35,24489.82,3009.0,0.1094
2023-12-01,358,312,46,29997.51,3754.28,0.1112
2024-01-01,329,300,29,25265.21,2133.84,0.0779
2024-02-01,338,294,44,27326.24,4644.08,0.1453
2024-03-01,389,342,47,29963.82,4601.58,0.1331
2024-04-01,384,337,47,28772.43,3717.34,0.1144
2024-05-01,427,378,49,33531.14,3630.86,0.0977
2024-06-01,418,359,59,30902.56,5475.34,0.1505
2024-07-01,411,349,62,28538.65,4919.25,0.147
2024-08-01,414,360,54,29319.32,4392.18,0.1303
2024-09-01,418,359,59,28329.49,6143.76,0.1782
2024-10-01,412,368,44,33659.26,3105.14,0.0845
2024-11-01,480,423,57,34436.37,3714.46,0.0974
2024-12-01,510,445,65,36389.36,7318.69,0.1674
2025-01-01,540,469,71,36127.24,7337.28,0.1688
2025-02-01,474,410,64,35038.82,5382.54,0.1332
2025-03-01,531,471,60,40422.81,5907.71,0.1275
2025-04-01,545,467,78,38683.08,6645.71,0.1466
2025-05-01,606,516,90,42162.16,8351.37,0.1653
2025-06-01,559,486,73,42821.24,5603.5,0.1157
2025-07-01,602,531,71,45137.25,6858.34,0.1319
2025-08-01,630,528,102,44827.56,8854.38,0.1649
2025-09-01,676,572,104,48420.2,10998.92,0.1851
2025-10-01,754,650,104,53330.33,10861.39,0.1692
2025-11-01,734,619,115,53758.67,8463.09,0.136
2025-12-01,746,643,103,54173.87,6801.84,0.1115
2026-01-01,825,694,131,60165.77,11836.26,0.1644
2026-02-01,742,611,131,48942.95,11533.97,0.1907
2026-03-01,930,758,172,64072.51,13303.35,0.1719
2026-04-01,950,791,159,66789.4,11584.81,0.1478
2026-05-01,1041,880,161,75126.38,13891.67,0.1561
2026-06-01,1086,879,207,71468.5,17524.02,0.1969
2026-07-01,1275,1060,215,98357.47,18992.82,0.1618
2026-08-01,1501,1253,248,113172.63,19740.01,0.1485
