month,active_customers,churned_customers_90d,churn_rate_90d
2019-02-01,8,8,1.0
2019-03-01,7,7,1.0
2019-04-01,7,7,1.0
2019-05-01,15,15,1.0
2019-06-01,18,17,0.9444
2019-07-01,31,30,0.9677
2019-08-01,28,27,0.9643
2019-09-01,28,28,1.0
2019-10-01,32,31,0.9688
2019-11-01,46,46,1.0
2019-12-01,45,44,0.9778
2020-01-01,51,49,0.9608
2020-02-01,51,49,0.9608
2020-03-01,53,53,1.0
2020-04-01,59,56,0.9492
2020-05-01,60,57,0.95
2020-06-01,75,72,0.96
2020-07-01,75,74,0.9867
2020-08-01,79,77,0.9747
2020-09-01,81,80,0.9877
2020-10-01,91,87,0.956
2020-11-01,87,83,0.954
2020-12-01,104,100,0.9615
2021-01-01,107,104,0.972
2021-02-01,92,91,0.9891
2021-03-01,104,101,0.9712
2021-04-01,110,107,0.9727
2021-05-01,113,110,0.9735
2021-06-01,110,105,0.9545
2021-07-01,129,124,0.9612
2021-08-01,140,135,0.9643
2021-09-01,144,139,0.9653
2021-10-01,151,149,0.9868
2021-11-01,135,128,0.9481
2021-12-01,158,153,0.9684
2022-01-01,147,138,0.9388
2022-02-01,158,153,0.9684
2022-03-01,199,193,0.9698
2022-04-01,183,179,0.9781
2022-05-01,168,164,0.9762
2022-06-01,200,196,0.98
2022-07-01,204,199,0.9755
2022-08-01,219,212,0.968
2022-09-01,204,196,0.9608
2022-10-01,238,233,0.979
2022-11-01,230,221,0.9609
2022-12-01,218,210,0.9633
2023-01-01,239,233,0.9749
2023-02-01,249,240,0.9639
2023-03-01,275,268,0.9745
2023-04-01,279,268,0.9606
2023-05-01,304,295,0.9704
2023-06-01,283,273,0.9647
2023-07-01,302,296,0.9801
2023-08-01,307,299,0.9739
2023-09-01,331,317,0.9577
2023-10-01,347,339,0.9769
2023-11-01,314,300,0.9554
2023-12-01,358,348,0.9721
2024-01-01,329,313,0.9514
2024-02-01,338,319,0.9438
2024-03-01,389,375,0.964
2024-04-01,384,361,0.9401
2024-05-01,427,402,0.9415
2024-06-01,418,402,0.9617
2024-07-01,411,401,0.9757
2024-08-01,414,400,0.9662
2024-09-01,418,395,0.945
2024-10-01,412,399,0.9684
2024-11-01,480,461,0.9604
2024-12-01,510,488,0.9569
2025-01-01,540,525,0.9722
2025-02-01,474,456,0.962
2025-03-01,531,511,0.9623
2025-04-01,545,532,0.9761
2025-05-01,606,584,0.9637
2025-06-01,559,542,0.9696
2025-07-01,602,570,0.9468
2025-08-01,630,602,0.9556
2025-09-01,676,645,0.9541
2025-10-01,754,718,0.9523
2025-11-01,734,706,0.9619
2025-12-01,746,701,0.9397
2026-01-01,825,772,0.9358
2026-02-01,742,691,0.9313
2026-03-01,930,864,0.929
2026-04-01,950,896,0.9432
2026-05-01,1041,974,0.9356
