cohort_month,month_offset,cohort_size,active_users,retention_rate
2019-02-01,0,8,8,1.0
2019-02-01,49,8,1,0.125
2019-02-01,84,8,1,0.125
2019-03-01,0,7,7,1.0
2019-03-01,53,7,1,0.1429
2019-04-01,0,7,7,1.0
2019-04-01,50,7,1,0.1429
2019-04-01,86,7,1,0.1429
2019-05-01,0,15,15,1.0
2019-05-01,26,15,1,0.0667
2019-05-01,58,15,1,0.0667
2019-06-01,0,18,18,1.0
2019-06-01,1,18,1,0.0556
2019-06-01,32,18,1,0.0556
2019-06-01,37,18,1,0.0556
2019-06-01,72,18,2,0.1111
2019-07-01,0,30,30,1.0
2019-07-01,1,30,1,0.0333
2019-07-01,22,30,1,0.0333
2019-07-01,26,30,1,0.0333
2019-07-01,46,30,1,0.0333
2019-07-01,66,30,1,0.0333
2019-07-01,68,30,1,0.0333
2019-07-01,73,30,1,0.0333
2019-07-01,75,30,1,0.0333
2019-07-01,79,30,1,0.0333
2019-08-01,0,27,27,1.0
2019-08-01,1,27,1,0.037
2019-08-01,4,27,1,0.037
2019-08-01,9,27,1,0.037
2019-08-01,16,27,1,0.037
2019-08-01,20,27,1,0.037
2019-08-01,31,27,1,0.037
2019-08-01,34,27,2,0.0741
2019-08-01,35,27,1,0.037
2019-08-01,43,27,1,0.037
2019-08-01,56,27,1,0.037
2019-08-01,60,27,1,0.037
2019-08-01,63,27,1,0.037
2019-08-01,68,27,1,0.037
2019-08-01,82,27,1,0.037
2019-09-01,0,27,27,1.0
2019-09-01,39,27,1,0.037
2019-09-01,48,27,1,0.037
2019-09-01,50,27,1,0.037
2019-09-01,53,27,1,0.037
2019-09-01,62,27,1,0.037
2019-09-01,71,27,1,0.037
2019-09-01,77,27,1,0.037
2019-09-01,78,27,1,0.037
2019-09-01,80,27,1,0.037
2019-10-01,0,32,32,1.0
2019-10-01,1,32,1,0.0313
2019-10-01,10,32,1,0.0313
2019-10-01,37,32,1,0.0313
2019-10-01,48,32,1,0.0313
2019-11-01,0,45,45,1.0
2019-11-01,11,45,1,0.0222
2019-11-01,19,45,1,0.0222
2019-11-01,24,45,1,0.0222
2019-11-01,36,45,1,0.0222
2019-11-01,40,45,1,0.0222
2019-11-01,46,45,1,0.0222
2019-11-01,58,45,1,0.0222
2019-11-01,63,45,1,0.0222
2019-11-01,68,45,1,0.0222
2019-12-01,0,44,44,1.0
2019-12-01,1,44,1,0.0227
2019-12-01,7,44,1,0.0227
2019-12-01,13,44,1,0.0227
2019-12-01,15,44,1,0.0227
2019-12-01,19,44,1,0.0227
2019-12-01,23,44,1,0.0227
2019-12-01,25,44,1,0.0227
2019-12-01,45,44,1,0.0227
2019-12-01,48,44,2,0.0455
2019-12-01,54,44,1,0.0227
2020-01-01,0,50,50,1.0
2020-01-01,1,50,2,0.04
2020-01-01,4,50,1,0.02
2020-01-01,11,50,1,0.02
2020-01-01,38,50,1,0.02
2020-01-01,49,50,2,0.04
2020-01-01,50,50,1,0.02
2020-01-01,51,50,1,0.02
2020-01-01,52,50,1,0.02
2020-01-01,60,50,1,0.02
2020-01-01,67,50,1,0.02
2020-01-01,70,50,1,0.02
2020-02-01,0,49,49,1.0
2020-02-01,1,49,2,0.0408
2020-02-01,13,49,1,0.0204
2020-02-01,31,49,1,0.0204
2020-02-01,38,49,1,0.0204
2020-02-01,46,49,1,0.0204
2020-02-01,76,49,1,0.0204
2020-03-01,0,51,51,1.0
2020-03-01,31,51,1,0.0196
2020-03-01,36,51,1,0.0196
2020-03-01,45,51,1,0.0196
2020-03-01,56,51,1,0.0196
2020-03-01,58,51,1,0.0196
