month,orders,revenue,aov,gross_profit,gross_margin
2019-02-01,8,764.27,95.53,386.63,0.5059
2019-03-01,7,1058.8,151.26,569.29,0.5377
2019-04-01,7,402.59,57.51,193.23,0.48
2019-05-01,15,989.4,65.96,504.63,0.51
2019-06-01,18,1641.24,91.18,840.61,0.5122
2019-07-01,30,2584.48,86.15,1293.08,0.5003
2019-08-01,27,2495.72,92.43,1301.26,0.5214
2019-09-01,28,2383.17,85.11,1241.0,0.5207
2019-10-01,32,2241.28,70.04,1139.42,0.5084
2019-11-01,45,3220.15,71.56,1694.34,0.5262
2019-12-01,45,2965.65,65.9,1526.15,0.5146
2020-01-01,50,3561.24,71.22,1825.3,0.5125
2020-02-01,50,5071.94,101.44,2663.75,0.5252
2020-03-01,52,4520.53,86.93,2365.88,0.5234
2020-04-01,59,5655.77,95.86,2891.28,0.5112
2020-05-01,57,5269.88,92.45,2682.67,0.5091
2020-06-01,73,5522.57,75.65,2887.9,0.5229
2020-07-01,73,4745.63,65.01,2461.52,0.5187
2020-08-01,79,6992.67,88.51,3606.83,0.5158
2020-09-01,81,6380.5,78.77,3299.88,0.5172
2020-10-01,90,6975.82,77.51,3522.87,0.505
2020-11-01,84,7674.91,91.37,4010.81,0.5226
2020-12-01,101,6523.51,64.59,3326.0,0.5098
2021-01-01,103,8585.54,83.35,4522.23,0.5267
2021-02-01,89,5922.08,66.54,3052.46,0.5154
2021-03-01,106,8402.38,79.27,4370.53,0.5202
2021-04-01,108,10080.78,93.34,5213.43,0.5172
2021-05-01,110,8705.42,79.14,4550.82,0.5228
2021-06-01,107,9262.57,86.57,4758.59,0.5137
2021-07-01,124,11399.71,91.93,5955.42,0.5224
2021-08-01,138,12277.53,88.97,6212.75,0.506
2021-09-01,141,11805.81,83.73,6175.66,0.5231
2021-10-01,148,13470.31,91.02,7050.99,0.5234
2021-11-01,133,10689.72,80.37,5508.54,0.5153
2021-12-01,156,12004.12,76.95,6188.21,0.5155
2022-01-01,144,12979.67,90.14,6657.86,0.5129
2022-02-01,151,12096.68,80.11,6273.0,0.5186
2022-03-01,195,15499.47,79.48,7964.53,0.5139
2022-04-01,181,14272.61,78.85,7364.31,0.516
2022-05-01,165,15000.16,90.91,7875.25,0.525
2022-06-01,196,16376.26,83.55,8368.43,0.511
2022-07-01,201,14444.9,71.87,7457.58,0.5163
2022-08-01,214,18547.59,86.67,9680.79,0.5219
2022-09-01,198,16613.13,83.9,8569.11,0.5158
2022-10-01,235,18762.14,79.84,9664.85,0.5151
2022-11-01,227,19008.13,83.74,9760.49,0.5135
2022-12-01,213,18017.04,84.59,9405.88,0.5221
2023-01-01,234,21233.4,90.74,10997.57,0.5179
2023-02-01,246,21680.84,88.13,11099.66,0.512
2023-03-01,269,23736.99,88.24,12531.9,0.5279
2023-04-01,275,20976.36,76.28,10815.84,0.5156
2023-05-01,299,24612.84,82.32,12847.74,0.522
2023-06-01,277,22091.02,79.75,11572.95,0.5239
2023-07-01,297,27841.59,93.74,14450.6,0.519
2023-08-01,302,23339.17,77.28,12108.67,0.5188
2023-09-01,326,28449.39,87.27,14939.52,0.5251
2023-10-01,337,28976.25,85.98,14884.64,0.5137
2023-11-01,307,27737.59,90.35,14421.01,0.5199
2023-12-01,352,33436.22,94.99,17283.02,0.5169
2024-01-01,325,27219.52,83.75,14247.67,0.5234
2024-02-01,331,33422.65,100.97,17430.18,0.5215
2024-03-01,377,33423.97,88.66,17266.03,0.5166
2024-04-01,376,33118.25,88.08,17183.97,0.5189
2024-05-01,412,37323.97,90.59,19166.02,0.5135
2024-06-01,408,36030.55,88.31,18988.3,0.527
2024-07-01,401,33165.72,82.71,17400.24,0.5246
2024-08-01,408,34546.78,84.67,17912.76,0.5185
2024-09-01,410,33211.84,81.0,17137.97,0.516
2024-10-01,407,36601.67,89.93,19139.19,0.5229
2024-11-01,477,39608.67,83.04,20482.89,0.5171
2024-12-01,500,43077.15,86.15,22308.54,0.5179
2025-01-01,532,42923.55,80.68,22439.68,0.5228
2025-02-01,473,40839.49,86.34,21285.43,0.5212
2025-03-01,526,46390.44,88.19,24083.76,0.5192
2025-04-01,535,45224.76,84.53,23594.09,0.5217
2025-05-01,601,50408.34,83.87,25960.73,0.515
2025-06-01,551,48371.83,87.79,25000.8,0.5168
2025-07-01,596,51732.96,86.8,26719.6,0.5165
2025-08-01,623,53712.65,86.22,27759.64,0.5168
2025-09-01,670,59896.85,89.4,31385.59,0.524
2025-10-01,747,64501.81,86.35,33240.6,0.5153
2025-11-01,720,61184.41,84.98,31968.26,0.5225
2025-12-01,743,62087.12,83.56,32018.14,0.5157
2026-01-01,815,72290.59,88.7,37656.66,0.5209
2026-02-01,731,60551.99,82.83,31501.51,0.5202
2026-03-01,924,77425.89,83.79,40003.61,0.5167
2026-04-01,939,77925.54,82.99,40468.2,0.5193
2026-05-01,1033,89452.61,86.59,46353.34,0.5182
2026-06-01,1075,88891.59,82.69,45844.89,0.5157
2026-07-01,1282,117767.47,91.86,61652.96,0.5235
2026-08-01,1506,130899.99,86.92,67562.01,0.5161
